"customer_id","full_name","email","city","state","customer_segment","registration_date"
7,"Samantha George","xsmith@example.com","Arroyoburgh","Kentucky","Gold","2024-12-18"
34,"Eric Thompson","moorericky@example.net","New Jeffreyberg","Louisiana","Platinum","2024-12-04"
275,"Heather Russell","davidphillips@example.net","Port Jacqueline","Idaho","Platinum","2024-11-29"
17,"Harry Middleton","vpham@example.org","South Mark","California","Gold","2024-11-29"
327,"Eric Clayton","romanmatthew@example.org","South Laurenville","Connecticut","Platinum","2024-11-12"
432,"Wendy Lawson","ashleygamble@example.org","North Joshua","Mississippi","Gold","2024-10-31"
121,"Joseph Clayton","amy29@example.com","Clarencestad","Kentucky","Gold","2024-10-06"
297,"Amy Cisneros","ewingnicole@example.org","Jenniferfort","Wisconsin","Gold","2024-10-02"
280,"Kristina Perez","tara02@example.com","South Jorge","Idaho","Gold","2024-09-28"
129,"Alexandria Baker","crawfordwilliam@example.org","South Michaelberg","Idaho","Platinum","2024-08-28"
426,"Kathy Harrison","kaitlinhale@example.com","Wallmouth","Oklahoma","Gold","2024-08-27"
221,"Tracey Lewis","andrew48@example.net","Pamelabury","Iowa","Platinum","2024-08-16"
98,"Jason Lee","burgesskaren@example.org","Williamfort","New Jersey","Platinum","2024-07-30"
1,"Danielle Johnson","john21@example.net","South Bridget","Alabama","Gold","2024-07-15"
479,"Mary Aguirre","tina69@example.net","Turnerbury","Alaska","Gold","2024-07-06"
443,"Jerry Mckinney","williamwelch@example.com","Lake Jessicamouth","South Dakota","Gold","2024-06-28"
93,"Debbie Fisher","ywest@example.com","Port Andrewport","New Jersey","Gold","2024-06-26"
509,"Kari Norton","pedwards@example.org","South Molly","Delaware","Gold","2024-06-19"
157,"Thomas Delacruz","kennedyjames@example.org","South Marvinburgh","Massachusetts","Gold","2024-05-11"
339,"Sharon White","hilljamie@example.net","Samuelchester","Alaska","Platinum","2024-05-09"
269,"Shannon Allen","cheryljohnson@example.org","South Kaylee","Texas","Gold","2024-05-07"
332,"Jessica Singh","abigailfernandez@example.org","Jessicahaven","Delaware","Gold","2024-04-20"
149,"Katherine Ayers","hartcraig@example.com","Richardfurt","Arizona","Gold","2024-04-07"
130,"Angela Sloan","pwalker@example.com","Clineport","Massachusetts","Gold","2024-03-03"
505,"Raymond Washington","justinjohnson@example.net","North Jill","Montana","Gold","2024-02-23"
319,"Ryan Simmons","palmerteresa@example.net","Edgarberg","Utah","Gold","2024-01-16"
402,"William Moore","douglasbradley@example.com","Stephaniehaven","Virginia","Gold","2023-12-27"
174,"Karen Martin","frances20@example.net","Hughesmouth","Oklahoma","Gold","2023-12-07"
410,"Jasmine Patrick","jacobbond@example.net","South Richardport","Vermont","Gold","2023-11-26"
453,"Ryan Jackson","jenniferburnett@example.net","Hollyberg","Pennsylvania","Platinum","2023-11-22"
160,"Pamela Cowan","wendy75@example.org","Jenniferton","Missouri","Gold","2023-11-15"
256,"Austin Livingston","jessica94@example.org","Davidview","Louisiana","Gold","2023-10-28"
26,"Amber Cooke","jeffrey10@example.org","Katieburgh","Rhode Island","Gold","2023-10-25"
520,"Sherry Parker","julierojas@example.com","Nicoleburgh","Maine","Gold","2023-10-16"
569,"Kimberly Hart","mcbridemichael@example.org","Brandonfurt","Maine","Gold","2023-10-09"
282,"Mark Thornton","wkemp@example.net","Christopherton","Rhode Island","Gold","2023-10-09"
290,"Melissa Thomas","kyleclark@example.org","North Kevintown","Wisconsin","Platinum","2023-10-05"
385,"Cassandra Rogers","yvonne35@example.net","West Shannon","Utah","Gold","2023-10-04"
112,"Edward Cuevas","agarcia@example.org","South Jennifermouth","Massachusetts","Platinum","2023-09-23"
61,"Lisa Monroe","wagnergerald@example.org","Cameronville","Oklahoma","Gold","2023-09-17"
204,"Shannon Cook","michael84@example.com","Markhaven","New York","Gold","2023-09-16"
188,"Nicholas Solomon","wgomez@example.com","Carolynville","Texas","Gold","2023-07-30"
286,"Elizabeth Roberts","traviswatts@example.org","Mccannville","Mississippi","Gold","2023-07-25"
165,"Mary Vaughn","pmarsh@example.org","Maxwelltown","Utah","Gold","2023-07-25"
249,"Terri Reyes","jared96@example.com","Port Seanport","Montana","Gold","2023-07-07"
223,"Robert Parrish","julieatkinson@example.org","Maddoxshire","North Carolina","Gold","2023-06-29"
167,"Elizabeth Davidson","marygrant@example.net","Taraton","North Carolina","Gold","2023-06-15"
441,"Kimberly Arnold","gonzalezterrence@example.org","South Antoniotown","Georgia","Platinum","2023-06-13"
128,"Cheryl Brown","davidzimmerman@example.net","Port Rachelmouth","Nevada","Gold","2023-06-08"
77,"Matthew Bradshaw","bryananthony@example.org","Shawnton","Hawaii","Platinum","2023-06-06"
257,"Alexis Rodriguez","reneestevenson@example.net","Townsendbury","Texas","Gold","2023-06-02"
268,"Angela Gonzales","andersonkylie@example.net","East Douglas","Louisiana","Gold","2023-05-26"
207,"Christine Miller","pparker@example.net","Lake Amber","Pennsylvania","Gold","2023-05-03"
592,"Eric George","nicole69@example.net","Lake Katieberg","Texas","Gold","2023-04-26"
212,"Kimberly Jones","qwhite@example.com","Priceport","Massachusetts","Platinum","2023-04-17"
176,"David Silva","adam72@example.org","Aliciaburgh","North Dakota","Gold","2023-02-11"
370,"Donald Hoover","georgesmith@example.org","Gregoryton","Utah","Platinum","2023-02-09"
572,"Abigail Warren","chall@example.com","Lake Stevenshire","Hawaii","Platinum","2023-01-13"
32,"Travis Salas","taylor75@example.org","Port Anna","Maryland","Platinum","2023-01-09"
141,"Latoya Yu","grant89@example.com","New Lucas","South Carolina","Gold","2023-01-07"
230,"Renee Murphy","jamietaylor@example.net","Maryberg","Washington","Gold","2022-11-08"
390,"Lance Lawrence","melaniewhitney@example.com","Frazierberg","Rhode Island","Gold","2022-11-05"
516,"Michael Lee","mark54@example.net","Port Jenniferfort","Rhode Island","Gold","2022-10-24"
29,"John Marshall","frogers@example.com","East Jenniferfort","Oklahoma","Gold","2022-10-22"
258,"Jessica Jackson","brian41@example.org","Dustinchester","Alabama","Platinum","2022-10-16"
