order_id,order_date,order_status,customer_name,customer_segment,region_name,sales_rep,order_total
4086,2024-04-30,Delivered,Jasmine Patrick,Gold,Southeast,David Kim,8891.15
39,2023-01-22,Delivered,David Pollard,Gold,West,Alice Nguyen,8401.86
1928,2022-08-25,Delivered,Emily Clements,Gold,Northeast,Henry Zhang,8351.35
4767,2024-02-27,Delivered,Logan Lee,Silver,Northeast,Irene Davis,7992.83
4911,2023-06-03,Delivered,Javier Horton,Platinum,Southwest,Irene Davis,7860.35
2358,2022-06-21,Delivered,Zachary Sullivan,Platinum,West,David Kim,7860.08
2832,2023-08-25,Delivered,Nicholas Ruiz,Bronze,Midwest,Brian Patel,7744.85
1445,2023-05-05,Delivered,Erica Sims,Platinum,Southeast,Emily Johnson,7629.37
1559,2024-10-13,Delivered,Debra Boyd,Silver,Midwest,Carmen Lopez,7357.82
1702,2024-12-05,Delivered,Melissa Ward,Silver,Northeast,Henry Zhang,7179.87
2525,2024-06-14,Delivered,Tyler Boone,Bronze,West,David Kim,7029.85
2533,2024-02-24,Delivered,Gary Hancock,Bronze,Midwest,Henry Zhang,7013.41
3074,2024-07-17,Delivered,Jeremy Oliver,Bronze,Southeast,Emily Johnson,6879.87
3259,2024-02-18,Delivered,Jeffery Fields,Silver,Northeast,Alice Nguyen,6845.86
287,2024-05-28,Delivered,Zoe Meadows,Silver,West,Brian Patel,6827.89
905,2024-08-29,Delivered,Steven Church,Bronze,Midwest,Emily Johnson,6797.84
1516,2024-10-30,Delivered,Michael Williams,Silver,West,Emily Johnson,6729.87
2053,2022-06-19,Delivered,Christian Vega,Bronze,Midwest,Irene Davis,6702.85
4809,2024-11-15,Delivered,Gloria Mayer,Gold,Northeast,David Kim,6696.40
3707,2023-04-16,Delivered,Gerald Reeves,Silver,West,Carmen Lopez,6639.36
