customer_id,customer_name,customer_segment,registration_date,total_orders,lifetime_value
265,James Cortez,Silver,2022-01-05,43,29315.30
57,Ryan Anderson,Silver,2022-04-12,40,28097.72
455,Donna Moss,Gold,2020-06-28,54,24909.02
31,Jennifer Stewart,Bronze,2023-06-01,47,24860.67
507,Patrick Kaiser,Silver,2021-09-05,52,24307.38
164,Melissa Ward,Silver,2024-08-11,45,24101.09
245,Katherine Fowler,Gold,2022-04-19,49,23798.19
508,Gary Hancock,Bronze,2023-10-11,37,23177.94
436,Eric Harrison,Gold,2021-06-30,34,23152.48
342,Anthony Schultz,Silver,2022-06-24,31,22272.03
501,Tracy Mccoy,Silver,2022-04-02,59,22195.74
491,Logan Lee,Silver,2021-03-16,33,22146.64
109,Carrie Dominguez,Bronze,2023-06-30,43,22055.70
68,Elizabeth Mills,Silver,2023-03-31,40,22029.89
386,Molly Robertson,Silver,2020-07-10,37,21910.58
282,Mark Thornton,Gold,2023-10-09,32,21800.19
592,Eric George,Gold,2023-04-26,36,21569.17
192,Debra Boyd,Silver,2023-03-27,35,21485.38
383,George Brooks,Silver,2020-09-21,40,21468.01
301,Tyler Boone,Bronze,2023-04-15,37,21329.15
249,Terri Reyes,Gold,2023-07-07,37,21293.97
145,Brandon Armstrong,Silver,2023-06-28,46,21182.68
570,Rachel Stanton,Gold,2021-06-05,37,21054.25
116,Cynthia Steele,Bronze,2023-10-15,35,20616.00
126,Valerie Peck,Bronze,2022-07-23,34,20490.56
200,David Miller,Bronze,2023-02-04,32,20455.39
255,Steven Miller,Bronze,2022-06-01,35,20146.16
365,Margaret Morrison,Silver,2020-11-05,50,20092.92
198,John Ramos,Bronze,2024-02-24,42,19879.83
41,Laura Pearson,Gold,2022-06-16,42,19837.11
42,Heather Santos,Bronze,2021-04-05,47,19639.17
403,Kevin Hodge,Gold,2020-06-20,34,19438.36
183,Michael Lambert,Bronze,2021-01-27,40,19425.28
222,Lisa Davis,Silver,2022-08-04,26,19270.74
329,Scott Perry,Bronze,2021-03-11,28,19206.72
195,Thomas Burke,Silver,2024-06-07,36,19002.57
417,Stacey Henson,Gold,2021-05-10,58,19001.56
407,Randall Evans,Platinum,2022-03-01,30,18971.24
186,Wayne Bates,Bronze,2021-09-11,39,18964.40
353,Devin Williams,Bronze,2021-08-15,46,18822.93
421,Aaron Walker,Bronze,2023-02-08,36,18749.38
303,Michael Hernandez,Gold,2021-07-21,27,18588.26
385,Cassandra Rogers,Gold,2023-10-04,27,18554.06
307,Michael Burnett,Gold,2020-09-16,46,18506.58
159,Erica Sims,Platinum,2022-03-23,26,18281.84
400,Anthony Munoz,Silver,2024-06-28,40,18281.04
345,Robin Anderson,Platinum,2022-03-20,30,18190.58
541,Mary Wiggins,Bronze,2024-11-30,52,18179.53
108,Kirsten Ward,Silver,2022-01-15,39,18150.69
401,Kirsten Martinez,Silver,2023-08-06,24,18079.88
581,David Pollard,Gold,2022-02-15,30,17731.92
225,Wendy Warren,Gold,2022-06-16,38,17718.50
344,Christopher Hale,Silver,2022-09-23,43,17692.02
314,Chloe Juarez,Silver,2021-10-21,34,17670.72
48,Paige Taylor,Bronze,2021-01-24,40,17613.12
77,Matthew Bradshaw,Platinum,2023-06-06,28,17601.48
594,Meghan Gonzalez,Silver,2024-05-28,29,17513.29
24,Adam Bell,Bronze,2023-05-06,37,17509.58
78,Robert Marshall,Silver,2020-01-17,32,17451.59
363,Kayla Wolfe,Silver,2024-03-25,32,17433.55
524,Kevin Arellano,Silver,2021-10-11,43,17418.91
459,Jeremy Oliver,Bronze,2024-06-10,20,17403.47
395,David Miller,Silver,2022-06-28,23,17400.94
587,Lindsay Collins,Bronze,2023-01-10,34,17263.82
275,Heather Russell,Platinum,2024-11-29,39,17194.58
100,Martha Porter,Gold,2021-07-24,31,17162.41
360,Christopher Walton,Bronze,2021-04-28,35,17013.39
506,Marie Villarreal,Silver,2024-08-23,27,17005.79
86,Maria Nelson,Bronze,2023-02-22,30,16949.94
278,Maria Harrison,Platinum,2022-08-17,32,16921.12
27,Tamara Higgins,Bronze,2024-03-17,42,16836.87
324,Alan Mccoy,Gold,2020-07-16,30,16772.51
435,Michael Mcdonald,Silver,2021-01-17,38,16728.40
82,Stephen Obrien,Silver,2022-11-01,30,16668.58
242,Paula Ford,Platinum,2022-10-11,22,16645.15
235,Harold Garza,Gold,2021-08-02,30,16612.64
194,Mitchell Peters,Silver,2020-08-30,35,16484.50
220,Rachel Pierce,Platinum,2020-08-25,41,16423.34
229,Phillip Moore,Silver,2020-08-28,37,16416.69
564,Tonya Chase,Silver,2021-02-18,26,16398.38
185,Anthony Perkins,Bronze,2024-09-01,37,16151.56
381,Erica Terry,Bronze,2024-11-23,36,16083.37
563,Christy Johnson,Bronze,2023-03-01,31,16005.04
487,Steven Church,Bronze,2024-07-24,21,15990.18
283,James Fox,Silver,2024-08-11,35,15897.86
190,Zachary Sullivan,Platinum,2021-01-12,38,15827.81
410,Jasmine Patrick,Gold,2023-11-26,24,15812.62
191,Brittany Hall,Gold,2020-08-21,33,15746.41
201,Alicia Henderson,Silver,2023-11-12,37,15588.07
319,Ryan Simmons,Gold,2024-01-16,44,15586.35
583,Douglas Ryan,Gold,2020-03-06,31,15579.36
2,Helen Peterson,Silver,2023-11-30,29,15378.53
49,Cory Jennings,Silver,2022-05-17,22,15309.88
71,Carrie Short,Bronze,2022-03-21,28,15303.67
224,Jeffrey Roberts,Bronze,2021-02-20,24,15267.30
203,Thomas Smith,Silver,2020-05-25,35,15203.75
408,Julie Santana,Platinum,2021-10-14,33,15180.43
361,Scott Baker,Bronze,2023-05-18,34,15178.17
127,Rodney Morales,Silver,2023-02-18,31,15149.81
169,Emily Clements,Gold,2021-10-22,22,15105.03
173,Theresa Thompson,Gold,2021-12-27,22,15021.00
88,Shawn Davidson,Silver,2020-10-30,26,14949.55
90,Sandra Barron,Silver,2021-03-06,26,14902.92
63,Matthew Miranda,Gold,2020-05-04,38,14834.60
114,Russell Smith,Bronze,2021-09-14,25,14801.74
441,Kimberly Arnold,Platinum,2023-06-13,34,14773.35
122,Nathan Mckee,Gold,2021-02-02,38,14747.70
102,Alice Allen,Platinum,2021-11-09,33,14746.87
371,Javier Horton,Platinum,2022-07-10,12,14672.82
121,Joseph Clayton,Gold,2024-10-06,34,14639.51
512,Cody Weber,Silver,2020-12-15,29,14622.97
378,Justin West,Gold,2020-04-17,37,14546.70
437,Monica Warren,Silver,2022-05-31,36,14527.98
571,Kristie Lucas,Bronze,2020-05-29,24,14329.88
539,Jacob Johnson,Silver,2020-12-24,43,14274.14
482,Catherine Mendoza,Gold,2021-10-02,37,14237.66
147,Gloria Mayer,Gold,2020-10-04,27,14228.69
464,Shawn Robinson,Platinum,2020-09-13,19,14213.41
528,Kevin Davis,Platinum,2021-12-10,50,14150.82
373,Alexis Valdez,Bronze,2022-07-11,36,14113.96
130,Angela Sloan,Gold,2024-03-03,44,14107.42
136,Rebecca Calderon,Bronze,2022-04-14,22,14101.94
475,Angela Gonzalez,Bronze,2020-06-15,22,14083.34
299,Brandy Hubbard,Bronze,2024-05-30,27,14079.91
244,James Mclean,Silver,2020-07-23,39,14033.28
350,John Peterson,Bronze,2020-05-27,27,14021.94
489,Daniel Jones,Silver,2022-08-14,29,13971.18
518,Joan Cook,Silver,2023-09-18,37,13966.85
532,Hannah Sanchez,Silver,2021-04-07,36,13954.06
369,Steven Jones,Silver,2023-06-13,31,13953.84
81,Erin Wilson,Gold,2021-03-07,20,13945.51
390,Lance Lawrence,Gold,2022-11-05,29,13943.32
287,Jessica Smith,Silver,2023-08-22,18,13938.16
439,Barbara Smith,Silver,2021-09-19,35,13920.77
454,David Flores,Gold,2020-10-04,28,13898.00
178,Jonathan Ramsey,Silver,2022-04-08,29,13885.90
412,Joshua Obrien,Bronze,2021-06-08,42,13868.51
149,Katherine Ayers,Gold,2024-04-07,25,13854.81
128,Cheryl Brown,Gold,2023-06-08,30,13779.22
315,Michael Fletcher,Silver,2023-07-02,32,13766.88
473,Nicholas Ruiz,Bronze,2020-11-11,28,13763.79
497,Amanda Lee,Silver,2022-10-29,31,13740.66
413,Crystal Guzman,Silver,2022-12-16,46,13737.59
405,Michael Williams,Silver,2024-07-30,33,13736.51
317,Zoe Meadows,Silver,2022-11-01,25,13717.16
551,Thomas Cohen,Bronze,2020-01-14,36,13669.88
264,Melissa Peterson,Silver,2024-10-13,23,13633.81
387,Rebecca Navarro,Bronze,2020-02-07,31,13592.60
333,Brian Watson,Silver,2020-02-23,39,13562.23
393,Michelle Brown,Silver,2024-08-29,41,13554.03
495,Brianna Duffy,Bronze,2022-01-19,37,13509.15
338,Elizabeth Ortiz,Bronze,2022-07-18,32,13497.79
392,Jill Leblanc,Silver,2020-09-25,24,13484.36
340,Logan Scott,Bronze,2020-11-14,30,13474.94
148,Christian Vega,Bronze,2022-02-15,30,13420.47
236,Monica Huffman,Silver,2023-09-13,25,13406.60
267,Ronald Cain,Silver,2020-01-17,22,13405.11
513,Jose Garcia,Gold,2020-10-29,20,13400.98
479,Mary Aguirre,Gold,2024-07-06,31,13369.93
277,Gregory Hansen,Bronze,2024-07-09,45,13315.85
34,Eric Thompson,Platinum,2024-12-04,27,13262.64
424,Alison Frank,Silver,2024-04-29,24,13240.11
546,Jamie Hernandez,Bronze,2024-01-11,31,13183.74
547,Monique Waller,Silver,2023-03-08,39,13140.59
503,Jeffery Fields,Silver,2020-11-01,24,13139.01
50,Joshua Riggs,Silver,2023-10-11,20,13125.55
237,Lindsey Franklin,Bronze,2022-09-18,32,13100.07
243,Perry Larson,Gold,2021-11-10,26,13036.38
151,Jason Holloway,Platinum,2020-04-16,30,13025.54
271,Darren Jacobson,Bronze,2023-07-10,16,12989.71
176,David Silva,Gold,2023-02-11,34,12954.95
347,Ashley Snyder,Bronze,2021-08-15,22,12915.05
585,Christopher Hayes,Silver,2022-07-03,26,12890.85
590,Patricia Adkins,Bronze,2021-04-30,23,12775.82
125,Justin Pugh,Bronze,2022-08-09,34,12767.14
158,Brian Hayes,Bronze,2023-03-31,46,12738.44
496,Jason Stone,Bronze,2021-02-02,31,12703.88
44,Albert Ballard,Bronze,2021-04-13,22,12698.77
343,Stephanie Ali,Bronze,2020-08-21,26,12655.77
552,Dustin Cook,Bronze,2021-11-06,53,12613.88
549,Kimberly Lee,Bronze,2022-11-21,40,12592.72
175,Alexander King,Bronze,2021-01-26,24,12553.52
199,Raymond Goodman,Silver,2021-06-25,27,12478.15
554,Joshua Wood,Bronze,2023-09-29,24,12476.64
274,Patricia Vargas,Silver,2024-03-10,29,12342.98
74,Gerald Reeves,Silver,2020-05-30,17,12307.35
341,Douglas Orozco,Silver,2021-07-11,27,12297.95
450,Anna Cruz,Bronze,2020-08-20,44,12284.30
328,Chelsea Garrison,Bronze,2023-05-14,36,12264.49
171,Stephen Lawrence,Silver,2023-03-13,30,12239.88
591,Luke Klein,Silver,2021-03-28,39,12214.81
239,Megan Brown,Bronze,2023-11-29,36,12195.78
11,Corey Pearson,Bronze,2021-12-28,20,12187.13
419,Cathy Jones,Silver,2023-09-22,31,12172.42
589,Kelly Sims,Silver,2021-10-15,38,12167.45
162,Catherine Taylor,Bronze,2024-05-21,22,12159.64
