customer_segment,customer_name,lifetime_value,rank_in_segment,dense_rank_in_segment,quartile
Bronze,Jennifer Stewart,24860.67,1,1,1
Bronze,Gary Hancock,23177.94,2,2,1
Bronze,Carrie Dominguez,22055.70,3,3,1
Bronze,Tyler Boone,21329.15,4,4,1
Bronze,Cynthia Steele,20616.00,5,5,1
Bronze,David Miller,20455.39,6,6,1
Bronze,Steven Miller,20146.16,7,7,1
Bronze,John Ramos,19879.83,8,8,1
Bronze,Heather Santos,19639.17,9,9,1
Bronze,Wayne Bates,18964.40,10,10,1
Bronze,Mary Wiggins,18179.53,11,11,1
Bronze,Devin Williams,17821.04,12,12,1
Bronze,Scott Perry,17756.78,13,13,1
Bronze,Adam Bell,17509.58,14,14,1
Bronze,Paige Taylor,17480.16,15,15,1
Bronze,Jeremy Oliver,17403.47,16,16,1
Bronze,Christopher Walton,17013.39,17,17,1
Bronze,Maria Nelson,16949.94,18,18,1
Bronze,Tamara Higgins,16836.87,19,19,1
Bronze,Lindsay Collins,16318.85,20,20,1
Bronze,Anthony Perkins,16151.56,21,21,1
Bronze,Erica Terry,16083.37,22,22,1
Bronze,Christy Johnson,16005.04,23,23,1
Bronze,Steven Church,15990.18,24,24,1
Bronze,Carrie Short,15303.67,25,25,1
Bronze,Jeffrey Roberts,15267.30,26,26,1
Bronze,Scott Baker,15178.17,27,27,1
Bronze,Russell Smith,14801.74,28,28,1
Bronze,Valerie Peck,14392.71,29,29,1
Bronze,Kristie Lucas,14329.88,30,30,1
Bronze,Aaron Walker,14144.48,31,31,1
Bronze,Rebecca Calderon,14101.94,32,32,1
Bronze,Alexis Valdez,14097.78,33,33,1
Bronze,Angela Gonzalez,14083.34,34,34,1
Bronze,Brandy Hubbard,14079.91,35,35,1
Bronze,John Peterson,14021.94,36,36,1
Bronze,Joshua Obrien,13868.51,37,37,1
Bronze,Nicholas Ruiz,13763.79,38,38,1
Bronze,Michael Lambert,13688.52,39,39,1
Bronze,Thomas Cohen,13669.88,40,40,1
Bronze,Rebecca Navarro,13592.60,41,41,1
Bronze,Brianna Duffy,13509.15,42,42,1
