customer_id,customer_name,customer_segment,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total,rfm_segment
488,Brandon Wilson,Gold,433,3,3436.18,5,5,5,15,Champions
12,Heather Cross,Silver,239,5,3781.61,5,5,5,15,Champions
493,Jose Spencer,Silver,440,5,3041.23,5,5,5,15,Champions
348,Nicole Smith,Bronze,156,4,2196.69,5,5,5,15,Champions
58,George Meza,Bronze,417,4,1260.96,5,5,5,15,Champions
207,Christine Miller,Gold,402,5,2793.03,5,5,5,15,Champions
557,Katie Jordan,Silver,614,3,1209.96,5,5,5,15,Champions
449,Anthony White,Bronze,163,5,4030.15,5,5,5,15,Champions
254,Adrian Jimenez,Gold,848,2,905.77,5,5,5,15,Champions
574,Jennifer Washington,Silver,165,4,3475.41,5,5,5,15,Champions
431,Stephanie Hall,Gold,171,4,2957.34,5,5,5,15,Champions
330,Michael Johnson,Gold,330,2,4824.47,5,5,5,15,Champions
500,Kara Smith,Gold,330,3,2367.18,5,5,5,15,Champions
231,Kathy Beard,Bronze,323,5,3798.61,5,5,5,15,Champions
422,Edward Patterson,Bronze,320,2,505.95,5,5,5,15,Champions
485,Jay Johnson,Bronze,177,5,3960.24,5,5,5,15,Champions
6,Tasha Valencia,Silver,185,3,766.88,5,5,5,15,Champions
211,Andrew Compton,Bronze,277,4,2152.60,5,5,5,15,Champions
580,Timothy Gonzales,Silver,190,2,1808.32,5,5,5,15,Champions
467,Anthony Wang,Silver,699,5,4938.17,5,5,5,15,Champions
296,Joan Greer,Bronze,268,5,2708.23,5,5,5,15,Champions
448,Caitlyn Nelson,Gold,506,3,1825.26,5,5,5,15,Champions
210,Zachary Marsh,Bronze,196,3,3716.19,5,5,5,15,Champions
177,Kristie Moore,Gold,206,4,2176.03,5,5,5,15,Champions
43,Kelly Brooks,Silver,213,5,3137.65,5,5,5,15,Champions
293,Tyler Ward,Bronze,649,4,4184.66,5,5,5,15,Champions
141,Latoya Yu,Gold,221,3,2234.31,5,5,5,15,Champions
132,Katherine Bennett,Silver,213,5,3101.54,5,5,5,15,Champions
433,Christopher White,Bronze,515,4,3227.66,5,5,5,15,Champions
38,Kathleen Harris,Bronze,240,4,1127.80,5,5,5,15,Champions
62,Paul King,Platinum,433,4,1517.68,5,5,5,15,Champions
72,Erin Cisneros,Platinum,236,6,2975.61,5,4,5,14,Champions
157,Thomas Delacruz,Gold,103,2,1043.05,4,5,5,14,Champions
55,Diane Jones,Silver,232,4,5696.35,5,5,4,14,Champions
351,Samantha Ramos,Silver,226,7,3365.50,5,4,5,14,Champions
91,Sean Padilla,Silver,174,4,6263.44,5,5,4,14,Champions
253,Charles Smith,Silver,111,5,2337.96,4,5,5,14,Champions
354,Robert Gonzalez,Gold,364,7,3354.15,5,4,5,14,Champions
346,Mitchell Lee,Platinum,451,4,7458.96,5,5,4,14,Champions
15,Cassandra Robbins,Gold,216,6,4097.46,5,4,5,14,Champions
23,Christopher Hernandez,Silver,124,4,3951.76,4,5,5,14,Champions
391,Dustin Ortega,Silver,456,3,7152.55,5,5,4,14,Champions
453,Ryan Jackson,Platinum,115,4,1960.07,4,5,5,14,Champions
593,Jeffrey Walsh,Silver,206,6,3987.67,5,4,5,14,Champions
26,Amber Cooke,Gold,140,5,3792.96,4,5,5,14,Champions
376,Deborah Roberts,Silver,140,1,484.47,4,5,5,14,Champions
238,Dustin Johnson,Silver,577,5,7513.61,5,5,4,14,Champions
359,Timothy Sosa,Platinum,152,5,2064.26,4,5,5,14,Champions
550,Scott Rowland,Platinum,272,5,5901.60,5,5,4,14,Champions
358,Crystal Ramirez,Silver,417,3,7293.47,5,5,4,14,Champions
105,Kayla Friedman,Silver,250,6,3169.84,5,4,5,14,Champions
584,Sophia Berry,Bronze,158,4,5913.90,5,5,4,14,Champions
588,Donald Horne,Silver,99,6,2262.44,4,4,5,13,Champions
20,Martha Torres,Gold,43,5,1939.73,3,5,5,13,Loyal Customers
89,Richard Davis,Platinum,43,4,3949.65,3,5,5,13,Loyal Customers
300,Rachel Adams,Bronze,40,4,3600.20,3,5,5,13,Loyal Customers
484,Brian Bond,Bronze,343,7,7017.62,5,4,4,13,Champions
534,Emily Jacobs,Platinum,277,8,3879.01,5,3,5,13,Loyal Customers
46,David Ryan,Silver,271,8,4905.38,5,3,5,13,Loyal Customers
415,Troy Patel,Bronze,270,7,5145.63,5,4,4,13,Champions
107,Kelly Hughes,Silver,264,7,7786.83,5,4,4,13,Champions
460,Jacob Yoder,Silver,261,8,2869.77,5,3,5,13,Loyal Customers
474,Tina Stokes,Gold,248,6,5732.54,5,4,4,13,Champions
227,Ana Dean,Silver,640,7,7349.86,5,4,4,13,Champions
481,Jesse Chapman,Silver,214,4,9188.20,5,5,3,13,Loyal Customers
310,Andrew Johnson,Gold,186,4,8171.23,5,5,3,13,Loyal Customers
29,John Marshall,Gold,178,6,5618.67,5,4,4,13,Champions
514,Derrick Aguirre,Bronze,173,3,8310.69,5,5,3,13,Loyal Customers
75,Tanner Bird,Gold,166,7,6808.70,5,4,4,13,Champions
267,Ronald Cain,Silver,158,7,7386.71,5,4,4,13,Champions
35,Charles Martin,Bronze,151,7,3057.76,4,4,5,13,Champions
483,Michael Jenkins,Bronze,151,6,3460.35,4,4,5,13,Champions
36,Jeremy Craig,Gold,145,6,4874.97,4,4,5,13,Champions
596,James Barrett,Bronze,143,6,4893.84,4,4,5,13,Champions
172,Robert Lynch,Gold,142,6,3628.22,4,4,5,13,Champions
420,Amy Meyers,Platinum,135,6,3229.14,4,4,5,13,Champions
504,Bryan Williams,Bronze,124,6,4876.14,4,4,5,13,Champions
96,Ronald Simpson,Bronze,496,7,7011.15,5,4,4,13,Champions
219,Diane Hudson,Silver,118,6,2556.06,4,4,5,13,Champions
313,Emily Anderson,Gold,116,7,4711.71,4,4,5,13,Champions
252,Ryan Lawrence,Silver,109,6,3290.96,4,4,5,13,Champions
364,Eric Cisneros,Silver,108,5,5631.19,4,5,4,13,Champions
416,Melissa Phillips,Silver,107,4,7772.22,4,5,4,13,Champions
389,Kristen Burch,Bronze,93,5,5496.59,4,5,4,13,Champions
181,Amanda Taylor,Bronze,82,7,4334.03,4,4,5,13,Champions
39,William Hill,Platinum,448,6,4979.76,5,4,4,13,Champions
112,Edward Cuevas,Platinum,77,5,3487.52,3,5,5,13,Loyal Customers
337,Isaac Singh,Gold,70,3,1534.39,3,5,5,13,Loyal Customers
598,John Henry,Silver,68,4,770.36,3,5,5,13,Loyal Customers
153,Christopher Johnson,Bronze,68,3,478.36,3,5,5,13,Loyal Customers
168,Andrea Gray,Silver,60,5,3474.73,3,5,5,13,Loyal Customers
402,William Moore,Gold,59,2,827.25,3,5,5,13,Loyal Customers
189,Robert Rivera,Bronze,55,4,3352.03,3,5,5,13,Loyal Customers
133,Elaine Anderson,Bronze,55,4,3169.19,3,5,5,13,Loyal Customers
184,Ryan Larsen,Silver,51,3,3899.77,3,5,5,13,Loyal Customers
98,Jason Lee,Platinum,36,3,2261.17,2,5,5,12,At Risk
334,Jennifer Stone,Bronze,24,3,4675.19,2,5,5,12,At Risk
80,Nicole Pena,Silver,68,5,7786.15,3,5,4,12,Loyal Customers
320,Mckenzie Mills,Bronze,149,7,7468.55,4,4,4,12,Champions
478,Larry Montgomery,Silver,143,7,6658.81,4,4,4,12,Champions
472,Sydney Mcdonald,Silver,50,6,4757.61,3,4,5,12,Loyal Customers
537,Samantha Anderson,Bronze,541,7,6358.25,5,3,4,12,Loyal Customers
1,Danielle Johnson,Gold,40,4,5789.98,3,5,4,12,Loyal Customers
8,Monique Henderson,Silver,129,6,7764.28,4,4,4,12,Champions
426,Kathy Harrison,Gold,68,6,4763.21,3,4,5,12,Loyal Customers
5,Donald Mcgee,Silver,43,6,3755.81,3,4,5,12,Loyal Customers
336,Carolyn Ortiz,Silver,124,6,6671.24,4,4,4,12,Champions
67,Chelsea Henderson,Bronze,44,5,7463.35,3,5,4,12,Loyal Customers
47,Lynn Bentley,Silver,123,7,4966.36,4,3,5,12,Loyal Customers
569,Kimberly Hart,Gold,16,4,3286.49,2,5,5,12,At Risk
84,Bryan Taylor,Bronze,64,5,5045.87,3,5,4,12,Loyal Customers
394,Sierra Wilson,Silver,16,5,2776.64,2,5,5,12,At Risk
520,Sherry Parker,Gold,16,5,4530.13,2,5,5,12,At Risk
291,Kimberly Mora,Silver,17,5,4824.49,2,5,5,12,At Risk
297,Amy Cisneros,Gold,17,5,1905.82,2,5,5,12,At Risk
120,Philip Thomas,Bronze,429,6,10294.14,5,4,3,12,Loyal Customers
119,Ashley Patel,Bronze,101,8,1868.85,4,3,5,12,Loyal Customers
562,Kathryn Brown,Silver,96,6,5245.62,4,4,4,12,Champions
66,Wayne Young,Silver,91,8,4048.30,4,3,5,12,Loyal Customers
447,Joseph Olson,Silver,20,5,1465.67,2,5,5,12,At Risk
476,Amy Jones,Silver,91,5,8664.43,4,5,3,12,Loyal Customers
214,Eric Townsend,Silver,89,7,7490.54,4,4,4,12,Champions
32,Travis Salas,Platinum,85,8,3367.51,4,3,5,12,Loyal Customers
142,Danielle Garcia,Silver,80,5,5404.34,3,5,4,12,Loyal Customers
226,James Brooks,Silver,48,5,6558.70,3,5,4,12,Loyal Customers
212,Kimberly Jones,Platinum,212,6,9438.97,5,4,3,12,Loyal Customers
525,Mason Choi,Bronze,242,7,9579.39,5,4,3,12,Loyal Customers
294,Yolanda Vasquez,Platinum,273,7,10149.93,5,4,3,12,Loyal Customers
510,Nicole Simpson,Silver,78,4,6985.10,3,5,4,12,Loyal Customers
545,William Berg,Bronze,281,6,8468.81,5,4,3,12,Loyal Customers
425,Jason Walker,Bronze,57,5,5636.66,3,5,4,12,Loyal Customers
11,Corey Pearson,Bronze,307,7,9696.87,5,4,3,12,Loyal Customers
469,Kevin Collins,Bronze,71,5,5362.77,3,5,4,12,Loyal Customers
251,Laura Frazier,Gold,342,8,5189.73,5,3,4,12,Loyal Customers
218,Bruce Grant,Silver,169,6,10052.71,5,4,3,12,Loyal Customers
471,James Castillo,Bronze,166,9,5856.50,5,3,4,12,Loyal Customers
280,Kristina Perez,Gold,52,3,7373.78,3,5,4,12,Loyal Customers
103,Megan Newman,Silver,165,8,6426.00,5,3,4,12,Loyal Customers
70,Benjamin Lucas,Silver,378,6,8229.81,5,4,3,12,Loyal Customers
93,Debbie Fisher,Gold,69,5,7406.84,3,5,4,12,Loyal Customers
382,Johnny Turner,Bronze,405,8,7186.86,5,3,4,12,Loyal Customers
167,Elizabeth Davidson,Gold,37,4,1645.44,2,5,5,12,At Risk
556,Nathaniel Knight,Bronze,3,5,2369.31,1,5,5,11,At Risk
429,Alex Browning,Bronze,2,5,3821.91,1,5,5,11,At Risk
56,Scott Nelson,Platinum,48,7,4823.74,3,3,5,11,Loyal Customers
388,Christopher Graham,Platinum,101,7,10139.44,4,4,3,11,Loyal Customers
268,Angela Gonzales,Gold,51,4,8004.87,3,5,3,11,Loyal Customers
356,Bradley Johnson,Silver,19,5,5712.67,2,5,4,11,At Risk
540,Jennifer Allen,Bronze,5,4,3335.24,1,5,5,11,At Risk
466,Kenneth Ho,Silver,95,8,5879.24,4,3,4,11,Loyal Customers
419,Cathy Jones,Silver,61,6,7713.45,3,4,4,11,Loyal Customers
155,Vanessa Davidson,Silver,11,4,3910.47,1,5,5,11,At Risk
99,Leah Bowen,Bronze,194,6,10588.79,5,4,2,11,Loyal Customers
292,Rachel Medina,Bronze,24,7,4584.36,2,4,5,11,At Risk
77,Matthew Bradshaw,Platinum,143,7,9848.63,4,4,3,11,Loyal Customers
263,Peter Hernandez,Gold,68,7,5404.47,3,4,4,11,Loyal Customers
577,Matthew Jensen,Silver,172,9,5555.97,5,2,4,11,New Customers
461,Wesley Fischer,Silver,156,6,10005.34,4,4,3,11,Loyal Customers
44,Albert Ballard,Bronze,157,6,12469.30,5,4,2,11,Loyal Customers
118,Scott Robinson,Bronze,40,5,9210.89,3,5,3,11,Loyal Customers
81,Erin Wilson,Gold,88,6,8719.12,4,4,3,11,Loyal Customers
232,Kimberly Anderson,Platinum,136,8,7605.66,4,3,4,11,Loyal Customers
182,Rebecca York,Bronze,29,5,5195.21,2,5,4,11,At Risk
567,Victoria Chavez,Gold,132,8,6898.32,4,3,4,11,Loyal Customers
331,Richard Becker,Bronze,87,8,5341.00,4,3,4,11,Loyal Customers
498,Michelle Kaiser,Silver,126,8,5012.51,4,3,4,11,Loyal Customers
368,Cody Hale,Gold,385,7,8212.59,5,3,3,11,Loyal Customers
215,Todd Kim,Silver,2,4,2452.78,1,5,5,11,At Risk
446,Amy Moore,Bronze,294,9,5962.23,5,2,4,11,New Customers
247,Holly Jensen,Bronze,14,2,4897.64,1,5,5,11,At Risk
305,Megan Young,Bronze,80,6,5054.15,3,4,4,11,Loyal Customers
129,Alexandria Baker,Platinum,15,5,4272.28,1,5,5,11,At Risk
451,Carolyn Garza,Platinum,175,8,10199.35,5,3,3,11,Loyal Customers
284,Kyle Griffin,Bronze,31,6,3343.73,2,4,5,11,At Risk
332,Jessica Singh,Gold,54,7,7313.44,3,4,4,11,Loyal Customers
3,Janet Williams,Bronze,15,5,5309.11,2,5,4,11,At Risk
298,Ashley Henry,Silver,15,5,5839.97,2,5,4,11,At Risk
197,Michael Ochoa,Bronze,119,7,6560.49,4,3,4,11,Loyal Customers
406,Adam Stevens,Bronze,53,7,5807.58,3,4,4,11,Loyal Customers
269,Shannon Allen,Gold,79,8,2903.31,3,3,5,11,Loyal Customers
115,Michael Bruce,Silver,117,6,8883.35,4,4,3,11,Loyal Customers
139,Brittany Drake,Silver,78,4,8722.58,3,5,3,11,Loyal Customers
377,Stephanie Williams,Silver,219,10,7619.82,5,2,4,11,New Customers
170,Nathaniel Rodriguez,Gold,63,5,7162.89,3,4,4,11,Loyal Customers
290,Melissa Thomas,Platinum,45,6,5571.26,3,4,4,11,Loyal Customers
392,Jill Leblanc,Silver,222,7,13484.36,5,4,2,11,Loyal Customers
19,April Drake,Bronze,33,7,3264.38,2,4,5,11,At Risk
367,Alicia Kent,Bronze,111,6,9446.15,4,4,3,11,Loyal Customers
154,Dawn Coleman,Bronze,6,4,4109.75,1,5,5,11,At Risk
69,Gregory Maxwell,Silver,17,4,7201.67,2,5,4,11,At Risk
561,Michael Bautista,Bronze,50,6,6940.27,3,4,4,11,Loyal Customers
179,Roger Garcia,Silver,109,9,4230.68,4,2,5,11,New Customers
339,Sharon White,Platinum,62,8,4462.71,3,3,5,11,Loyal Customers
213,Crystal Williams,Bronze,61,8,3544.54,3,3,5,11,Loyal Customers
51,Daniel Gordon,Gold,45,7,3732.37,3,3,5,11,Loyal Customers
414,Jennifer Snow,Bronze,36,6,7091.21,2,4,4,10,At Risk
97,Dennis Sanchez,Bronze,3,5,6157.42,1,5,4,10,At Risk
193,Alexandra Meyer,Silver,5,7,4761.54,1,4,5,10,At Risk
531,Amy White,Bronze,6,5,7790.07,1,5,4,10,At Risk
17,Harry Middleton,Gold,6,5,5393.39,1,5,4,10,At Risk
124,Edward Jenkins,Silver,10,6,3504.21,1,4,5,10,At Risk
357,Mike Watson,Bronze,11,6,4255.63,1,4,5,10,At Risk
13,Richard David,Silver,12,5,6935.81,1,5,4,10,At Risk
152,Joshua Colon,Platinum,14,7,4252.06,1,4,5,10,At Risk
544,Eric Walters,Silver,15,7,3529.93,2,3,5,10,At Risk
113,Kevin Patrick,Silver,15,5,8346.40,2,5,3,10,At Risk
527,Jessica Coleman,Bronze,19,6,7551.16,2,4,4,10,At Risk
430,Susan Porter,Platinum,19,7,5305.45,2,4,4,10,At Risk
486,Juan Fleming,Gold,22,8,3909.72,2,3,5,10,At Risk
505,Raymond Washington,Gold,22,7,5032.94,2,4,4,10,At Risk
302,Madison Wagner,Bronze,24,7,7051.62,2,4,4,10,At Risk
150,Pamela Rivera,Gold,26,5,9497.72,2,5,3,10,At Risk
45,Randy Smith,Silver,28,5,8748.30,2,5,3,10,At Risk
208,Stephen Curry,Bronze,29,8,2890.19,2,3,5,10,At Risk
349,Nicole Aguirre,Silver,31,6,6256.23,2,4,4,10,At Risk
578,Susan Morris,Bronze,33,7,6349.70,2,4,4,10,At Risk
135,John Murray,Bronze,35,8,4216.95,2,3,5,10,At Risk
21,John Alvarez,Bronze,37,6,6413.64,2,4,4,10,At Risk
470,Brian Martinez,Gold,38,8,4265.14,2,3,5,10,At Risk
404,Zachary Cuevas,Gold,40,5,10604.11,3,5,2,10,Loyal Customers
123,David Jones,Bronze,43,7,9105.31,3,4,3,10,Loyal Customers
54,Eric Olson,Gold,45,7,10029.27,3,4,3,10,Loyal Customers
352,Sharon Logan,Silver,47,6,9587.03,3,4,3,10,Loyal Customers
543,Heather Ellis,Silver,52,7,5595.02,3,3,4,10,Loyal Customers
28,Matthew Atkinson,Silver,67,7,8691.47,3,4,3,10,Loyal Customers
140,Aaron Hardin,Bronze,69,6,8353.48,3,4,3,10,Loyal Customers
523,Thomas Rogers,Bronze,71,7,5118.58,3,3,4,10,Loyal Customers
10,Donna Gomez,Silver,76,8,7399.12,3,3,4,10,Loyal Customers
399,Michael Anderson,Silver,79,8,6638.52,3,3,4,10,Loyal Customers
250,Carmen Jennings,Silver,80,5,11129.62,3,5,2,10,Loyal Customers
104,Karen Marquez,Silver,85,9,6227.19,4,2,4,10,New Customers
468,Steve Brown,Bronze,87,7,8294.69,4,3,3,10,Loyal Customers
40,Mary Carpenter,Bronze,87,6,11276.64,4,4,2,10,Loyal Customers
398,Brandon Bautista,Silver,87,8,8876.75,4,3,3,10,Loyal Customers
384,Matthew Richards,Bronze,88,9,5742.71,4,2,4,10,New Customers
325,Bryan Orozco,Bronze,93,10,6199.94,4,2,4,10,New Customers
559,Dominique Harris,Silver,98,8,10013.59,4,3,3,10,Loyal Customers
240,Sara Mendez,Bronze,103,8,9022.66,4,3,3,10,Loyal Customers
573,Heather Bauer,Bronze,105,6,10569.08,4,4,2,10,Loyal Customers
502,Mary Shields,Bronze,108,7,11759.74,4,4,2,10,Loyal Customers
174,Karen Martin,Gold,127,7,8449.88,4,3,3,10,Loyal Customers
270,Joshua Lee,Silver,130,8,8748.02,4,3,3,10,Loyal Customers
52,Jennifer James,Bronze,132,7,8042.98,4,3,3,10,Loyal Customers
316,John Jimenez,Platinum,135,8,9537.23,4,3,3,10,Loyal Customers
380,Patrick Parker,Gold,145,8,8021.62,4,3,3,10,Loyal Customers
288,Amy Brennan,Platinum,150,6,10606.30,4,4,2,10,Loyal Customers
230,Renee Murphy,Gold,165,10,8873.84,5,2,3,10,New Customers
266,Jill Burns,Platinum,167,8,11232.63,5,3,2,10,Loyal Customers
311,David Reeves,Silver,170,8,11618.02,5,3,2,10,Loyal Customers
511,April King,Bronze,190,10,9225.20,5,2,3,10,New Customers
242,Paula Ford,Platinum,196,7,16445.19,5,4,1,10,Loyal Customers
202,Susan Cooper,Gold,259,10,8990.67,5,2,3,10,New Customers
262,Chelsey White,Silver,263,8,10787.79,5,3,2,10,Loyal Customers
173,Theresa Thompson,Gold,272,6,15003.02,5,4,1,10,Loyal Customers
169,Emily Clements,Gold,362,6,15105.03,5,4,1,10,Loyal Customers
347,Ashley Snyder,Bronze,376,7,12755.09,5,3,2,10,Loyal Customers
489,Daniel Jones,Silver,378,7,13971.18,5,4,1,10,Loyal Customers
535,Cheryl Chandler,Silver,392,7,12140.07,5,3,2,10,Loyal Customers
465,Antonio Fitzpatrick,Silver,399,7,10463.40,5,3,2,10,Loyal Customers
234,Angela Black,Platinum,10,8,3582.81,1,3,5,9,At Risk
60,Michael Jones,Silver,97,10,8806.05,4,2,3,9,New Customers
160,Pamela Cowan,Gold,61,9,5369.77,3,2,4,9,Potential Loyalists
59,Lisa Young,Platinum,6,5,8695.89,1,5,3,9,At Risk
50,Joshua Riggs,Silver,62,5,13125.55,3,4,2,9,Loyal Customers
553,Krystal Nguyen,Silver,62,7,7925.62,3,3,3,9,Loyal Customers
204,Shannon Cook,Gold,26,7,8914.79,2,4,3,9,At Risk
64,John Wallace,Silver,63,8,9917.20,3,3,3,9,Loyal Customers
156,Danielle Alvarez,Silver,237,12,9089.84,5,1,3,9,New Customers
464,Shawn Robinson,Platinum,236,8,14213.41,5,3,1,9,Loyal Customers
295,Mary Hardy,Bronze,6,7,7860.54,1,4,4,9,At Risk
444,Kimberly Lopez,Gold,31,10,3050.60,2,2,5,9,Lost
101,Carlos Hernandez,Silver,230,10,11764.41,5,2,2,9,New Customers
