customer_id,customer_name,customer_segment,lifetime_value
265,James Cortez,Silver,29275.31
57,Ryan Anderson,Silver,28097.72
455,Donna Moss,Gold,24909.02
31,Jennifer Stewart,Bronze,24860.67
508,Gary Hancock,Bronze,23177.94
436,Eric Harrison,Gold,23152.48
164,Melissa Ward,Silver,23134.16
245,Katherine Fowler,Gold,22616.26
342,Anthony Schultz,Silver,22272.03
501,Tracy Mccoy,Silver,22195.74
491,Logan Lee,Silver,22146.64
109,Carrie Dominguez,Bronze,22055.70
592,Eric George,Gold,21569.17
192,Debra Boyd,Silver,21485.38
301,Tyler Boone,Bronze,21329.15
249,Terri Reyes,Gold,21293.97
570,Rachel Stanton,Gold,21054.25
145,Brandon Armstrong,Silver,20999.03
383,George Brooks,Silver,20703.03
116,Cynthia Steele,Bronze,20616.00
200,David Miller,Bronze,20455.39
386,Molly Robertson,Silver,20291.66
255,Steven Miller,Bronze,20146.16
365,Margaret Morrison,Silver,20092.92
198,John Ramos,Bronze,19879.83
42,Heather Santos,Bronze,19639.17
403,Kevin Hodge,Gold,19438.36
507,Patrick Kaiser,Silver,19016.25
195,Thomas Burke,Silver,19002.57
407,Randall Evans,Platinum,18971.24
186,Wayne Bates,Bronze,18964.40
303,Michael Hernandez,Gold,18588.26
385,Cassandra Rogers,Gold,18554.06
307,Michael Burnett,Gold,18506.58
159,Erica Sims,Platinum,18281.84
400,Anthony Munoz,Silver,18281.04
541,Mary Wiggins,Bronze,18179.53
401,Kirsten Martinez,Silver,18079.88
353,Devin Williams,Bronze,17821.04
329,Scott Perry,Bronze,17756.78
581,David Pollard,Gold,17731.92
225,Wendy Warren,Gold,17718.50
314,Chloe Juarez,Silver,17670.72
344,Christopher Hale,Silver,17654.04
24,Adam Bell,Bronze,17509.58
48,Paige Taylor,Bronze,17480.16
363,Kayla Wolfe,Silver,17433.55
524,Kevin Arellano,Silver,17418.91
459,Jeremy Oliver,Bronze,17403.47
395,David Miller,Silver,17400.94
594,Meghan Gonzalez,Silver,17213.85
275,Heather Russell,Platinum,17194.58
100,Martha Porter,Gold,17162.41
78,Robert Marshall,Silver,17129.11
360,Christopher Walton,Bronze,17013.39
506,Marie Villarreal,Silver,17005.79
86,Maria Nelson,Bronze,16949.94
278,Maria Harrison,Platinum,16921.12
417,Stacey Henson,Gold,16873.18
27,Tamara Higgins,Bronze,16836.87
324,Alan Mccoy,Gold,16772.51
82,Stephen Obrien,Silver,16668.58
235,Harold Garza,Gold,16612.64
194,Mitchell Peters,Silver,16484.50
242,Paula Ford,Platinum,16445.19
220,Rachel Pierce,Platinum,16423.34
564,Tonya Chase,Silver,16398.38
587,Lindsay Collins,Bronze,16318.85
41,Laura Pearson,Gold,16166.60
185,Anthony Perkins,Bronze,16151.56
381,Erica Terry,Bronze,16083.37
68,Elizabeth Mills,Silver,16079.81
345,Robin Anderson,Platinum,16020.96
563,Christy Johnson,Bronze,16005.04
487,Steven Church,Bronze,15990.18
283,James Fox,Silver,15897.86
190,Zachary Sullivan,Platinum,15827.81
410,Jasmine Patrick,Gold,15812.62
191,Brittany Hall,Gold,15746.41
201,Alicia Henderson,Silver,15588.07
583,Douglas Ryan,Gold,15579.36
49,Cory Jennings,Silver,15309.88
71,Carrie Short,Bronze,15303.67
224,Jeffrey Roberts,Bronze,15267.30
203,Thomas Smith,Silver,15203.75
361,Scott Baker,Bronze,15178.17
229,Phillip Moore,Silver,15172.79
127,Rodney Morales,Silver,15149.81
169,Emily Clements,Gold,15105.03
173,Theresa Thompson,Gold,15003.02
88,Shawn Davidson,Silver,14949.55
90,Sandra Barron,Silver,14902.92
63,Matthew Miranda,Gold,14834.60
114,Russell Smith,Bronze,14801.74
441,Kimberly Arnold,Platinum,14773.35
102,Alice Allen,Platinum,14746.87
371,Javier Horton,Platinum,14672.82
512,Cody Weber,Silver,14622.97
378,Justin West,Gold,14546.70
222,Lisa Davis,Silver,14488.81
408,Julie Santana,Platinum,14465.55
126,Valerie Peck,Bronze,14392.71
282,Mark Thornton,Gold,14352.39
571,Kristie Lucas,Bronze,14329.88
437,Monica Warren,Silver,14296.02
539,Jacob Johnson,Silver,14274.14
147,Gloria Mayer,Gold,14228.69
464,Shawn Robinson,Platinum,14213.41
121,Joseph Clayton,Gold,14204.57
421,Aaron Walker,Bronze,14144.48
130,Angela Sloan,Gold,14107.42
136,Rebecca Calderon,Bronze,14101.94
373,Alexis Valdez,Bronze,14097.78
475,Angela Gonzalez,Bronze,14083.34
299,Brandy Hubbard,Bronze,14079.91
244,James Mclean,Silver,14033.28
350,John Peterson,Bronze,14021.94
122,Nathan Mckee,Gold,14013.33
489,Daniel Jones,Silver,13971.18
518,Joan Cook,Silver,13966.85
532,Hannah Sanchez,Silver,13954.06
369,Steven Jones,Silver,13953.84
390,Lance Lawrence,Gold,13943.32
287,Jessica Smith,Silver,13938.16
454,David Flores,Gold,13898.00
435,Michael Mcdonald,Silver,13890.57
178,Jonathan Ramsey,Silver,13885.90
412,Joshua Obrien,Bronze,13868.51
149,Katherine Ayers,Gold,13854.81
473,Nicholas Ruiz,Bronze,13763.79
413,Crystal Guzman,Silver,13737.59
405,Michael Williams,Silver,13736.51
317,Zoe Meadows,Silver,13717.16
183,Michael Lambert,Bronze,13688.52
551,Thomas Cohen,Bronze,13669.88
264,Melissa Peterson,Silver,13633.81
528,Kevin Davis,Platinum,13593.90
387,Rebecca Navarro,Bronze,13592.60
333,Brian Watson,Silver,13562.23
393,Michelle Brown,Silver,13554.03
495,Brianna Duffy,Bronze,13509.15
338,Elizabeth Ortiz,Bronze,13497.79
392,Jill Leblanc,Silver,13484.36
236,Monica Huffman,Silver,13406.60
439,Barbara Smith,Silver,13396.85
479,Mary Aguirre,Gold,13369.93
277,Gregory Hansen,Bronze,13315.85
128,Cheryl Brown,Gold,13261.83
424,Alison Frank,Silver,13231.12
340,Logan Scott,Bronze,13199.48
546,Jamie Hernandez,Bronze,13183.74
315,Michael Fletcher,Silver,13145.67
547,Monique Waller,Silver,13140.59
503,Jeffery Fields,Silver,13139.01
50,Joshua Riggs,Silver,13125.55
237,Lindsey Franklin,Bronze,13100.07
151,Jason Holloway,Platinum,13025.54
271,Darren Jacobson,Bronze,12989.71
108,Kirsten Ward,Silver,12977.08
176,David Silva,Gold,12954.95
585,Christopher Hayes,Silver,12890.85
590,Patricia Adkins,Bronze,12775.82
125,Justin Pugh,Bronze,12767.14
347,Ashley Snyder,Bronze,12755.09
158,Brian Hayes,Bronze,12738.44
343,Stephanie Ali,Bronze,12655.77
552,Dustin Cook,Bronze,12613.88
175,Alexander King,Bronze,12553.52
482,Catherine Mendoza,Gold,12497.72
199,Raymond Goodman,Silver,12478.15
554,Joshua Wood,Bronze,12476.64
44,Albert Ballard,Bronze,12469.30
74,Gerald Reeves,Silver,12307.35
450,Anna Cruz,Bronze,12284.30
328,Chelsea Garrison,Bronze,12264.49
171,Stephen Lawrence,Silver,12239.88
591,Luke Klein,Silver,12214.81
535,Cheryl Chandler,Silver,12140.07
494,Christina Mcknight,Gold,12108.45
239,Megan Brown,Bronze,12105.81
18,Michael Hicks,Gold,12090.09
445,Chris Kirk,Bronze,12026.33
