order_id,order_date,order_status,customer_name,email,days_in_processing,order_value,alert_level
381,2022-01-20,Processing,Amanda Wagner,sarahibarra@example.org,1076,2856.93,CRITICAL
3023,2022-02-04,Processing,Mitchell Peters,vanessa95@example.net,1061,1554.90,CRITICAL
1416,2022-02-07,Processing,Martha Torres,russellcarpenter@example.net,1058,456.93,CRITICAL
4534,2022-02-11,Processing,Julia Miller,ysanford@example.org,1054,19.98,CRITICAL
3053,2022-02-15,Processing,Rebecca York,eugenewalker@example.com,1050,99.96,CRITICAL
1774,2022-03-03,Processing,Chelsey White,irodriguez@example.com,1034,713.14,CRITICAL
4528,2022-03-03,Processing,Peter Butler,laura29@example.org,1034,50.05,CRITICAL
3162,2022-03-16,Processing,Richard David,bethwilliams@example.org,1021,496.88,CRITICAL
2680,2022-03-26,Processing,Michael Hicks,sheila14@example.org,1011,1766.90,CRITICAL
1241,2022-03-31,Processing,Wayne Young,brooksanthony@example.org,1006,1999.38,CRITICAL
1214,2022-03-31,Processing,Michael Jenkins,nramirez@example.org,1006,743.41,CRITICAL
4362,2022-04-07,Processing,Haley Castillo,aaronpowers@example.org,999,341.95,CRITICAL
4246,2022-04-13,Processing,Johnny Turner,uwillis@example.com,993,2932.46,CRITICAL
1267,2022-04-16,Processing,Jason Holloway,xmalone@example.org,990,835.91,CRITICAL
4465,2022-04-30,Processing,Kelly Hughes,hardyanita@example.org,976,1502.40,CRITICAL
1490,2022-05-05,Processing,Carolyn Garza,barbaramitchell@example.net,971,116.95,CRITICAL
408,2022-05-06,Processing,Adam Stevens,michael05@example.net,970,91.93,CRITICAL
3008,2022-05-28,Processing,Thomas Cohen,ashleymoore@example.org,948,1286.97,CRITICAL
4007,2022-06-02,Processing,Alexander King,ogreer@example.net,943,3338.94,CRITICAL
2259,2022-06-08,Processing,Cody Weber,carlfields@example.org,937,854.20,CRITICAL
3620,2022-06-13,Processing,Danielle Alvarez,william28@example.org,932,66.95,CRITICAL
4591,2022-06-21,Processing,Rachel Stanton,imcdonald@example.net,924,270.52,CRITICAL
3978,2022-06-26,Processing,Ronald Simpson,shelly68@example.com,919,452.48,CRITICAL
1623,2022-06-27,Processing,Joshua Obrien,flopez@example.com,918,1078.44,CRITICAL
4747,2022-07-11,Processing,Ryan Anderson,vincentwhitaker@example.com,904,3119.60,CRITICAL
8,2022-07-15,Processing,Logan Scott,pettyamber@example.com,900,229.47,CRITICAL
3207,2022-07-21,Processing,Cody Weber,carlfields@example.org,894,155.02,CRITICAL
4165,2022-07-21,Processing,Johnny Turner,uwillis@example.com,894,312.94,CRITICAL
1656,2022-07-28,Processing,April Foster,breanna67@example.net,887,57.48,CRITICAL
973,2022-08-02,Processing,Erica Sims,jeremywiley@example.com,882,2370.90,CRITICAL
470,2022-08-06,Processing,Jill Burns,ruizsamantha@example.org,878,5028.87,CRITICAL
3173,2022-08-10,Processing,Amanda Wagner,sarahibarra@example.org,874,924.34,CRITICAL
2529,2022-08-21,Processing,Danielle Alvarez,william28@example.org,863,246.94,CRITICAL
230,2022-09-11,Processing,Leah Bowen,robin55@example.com,842,3656.42,CRITICAL
4042,2022-09-21,Processing,Ana Dean,heatherbarnett@example.com,832,3080.43,CRITICAL
2685,2022-10-06,Processing,Phillip Moore,gabrielle54@example.org,817,384.95,CRITICAL
1582,2022-10-07,Processing,Jeffrey Roberts,vhernandez@example.org,816,69.98,CRITICAL
518,2022-10-18,Processing,Nicole Smith,pdavidson@example.org,805,735.91,CRITICAL
4361,2022-10-18,Processing,Thomas Cohen,ashleymoore@example.org,805,1783.91,CRITICAL
4327,2022-10-20,Processing,Zachary Sullivan,johnsjessica@example.com,803,1610.15,CRITICAL
3174,2022-10-24,Processing,Michael Lambert,craigharvey@example.org,799,1429.14,CRITICAL
2420,2022-11-12,Processing,Matthew Miranda,jeremytaylor@example.org,780,5824.87,CRITICAL
2930,2022-11-20,Processing,Dustin Cook,maria57@example.com,772,562.99,CRITICAL
2412,2022-11-24,Processing,Zoe Meadows,jasonwilliams@example.net,768,227.97,CRITICAL
1907,2022-11-29,Processing,Jonathan Ramsey,pruittlynn@example.com,763,2999.92,CRITICAL
4556,2022-11-29,Processing,Laura Pearson,tylerjohnson@example.net,763,159.94,CRITICAL
4081,2022-12-06,Processing,Logan Lee,rhonda53@example.com,756,1834.90,CRITICAL
3353,2022-12-08,Processing,Laura Frazier,wrobbins@example.org,754,730.37,CRITICAL
2239,2022-12-15,Processing,Michael Mcdonald,lrodriguez@example.net,747,663.46,CRITICAL
989,2022-12-26,Processing,Amanda Taylor,irobles@example.com,736,944.97,CRITICAL
3659,2022-12-27,Processing,Peter Hernandez,rebecca90@example.net,735,981.43,CRITICAL
4535,2022-12-30,Processing,Alice Allen,lisa46@example.org,732,1787.94,CRITICAL
4979,2022-12-31,Processing,Paula Ford,dreilly@example.net,731,78.01,CRITICAL
2883,2023-01-01,Processing,Jesse Chapman,robertgoodwin@example.net,730,3301.91,CRITICAL
1648,2023-01-04,Processing,Noah Mayo,gabriellecameron@example.org,727,1193.87,CRITICAL
4515,2023-01-17,Processing,Luke Klein,oclark@example.net,714,461.94,CRITICAL
3228,2023-01-17,Processing,Kevin Davis,bvaldez@example.org,714,845.92,CRITICAL
406,2023-01-17,Processing,Christopher Hale,jessicalutz@example.com,714,1012.14,CRITICAL
2249,2023-01-19,Processing,Kimberly Lopez,kennethnichols@example.org,712,479.15,CRITICAL
420,2023-01-22,Processing,Crystal Guzman,willisrhonda@example.net,709,1341.05,CRITICAL
888,2023-01-29,Processing,Jill Leblanc,melissaluna@example.com,702,5110.30,CRITICAL
135,2023-01-29,Processing,Wayne Bates,katherinetaylor@example.org,702,119.95,CRITICAL
4103,2023-01-30,Processing,Shawn Davidson,ismall@example.net,701,1140.92,CRITICAL
302,2023-02-01,Processing,Benjamin Lucas,michael05@example.com,699,1444.91,CRITICAL
2842,2023-02-01,Processing,Anthony Wang,camposchristina@example.com,699,638.94,CRITICAL
922,2023-02-04,Processing,Cheryl Chandler,omatthews@example.net,696,723.45,CRITICAL
1302,2023-02-07,Processing,Gwendolyn Vasquez,xevans@example.com,693,718.94,CRITICAL
1570,2023-02-09,Processing,Cody Weber,carlfields@example.org,691,4744.44,CRITICAL
466,2023-02-10,Processing,Patrick Kaiser,wbean@example.net,690,559.90,CRITICAL
856,2023-02-13,Processing,Victoria Chavez,amy14@example.net,687,529.37,CRITICAL
3624,2023-02-18,Processing,Renee Brown,holmeskevin@example.org,682,219.98,CRITICAL
2321,2023-02-19,Processing,Kevin Arellano,kathrynsantana@example.net,681,1062.94,CRITICAL
1289,2023-02-25,Processing,Travis Salas,taylor75@example.org,675,402.88,CRITICAL
1269,2023-02-26,Processing,Brandon Bautista,donna72@example.net,674,2103.86,CRITICAL
